"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.664665833E-1,2.124981079E0,2.594554596E0,2.207309875E0,4.014906602E0
6.765405834E-1,4.399800568E0,2.795287170E0,3.407813416E0,6.227765865E0
6.866145835E-1,4.443060608E0,1.357976074E0,7.303312683E-1,4.703006522E0
6.966885834E-1,5.669160919E0,7.036866760E-1,-6.191125488E-1,5.746117021E0
7.067635835E-1,5.300178223E0,1.724414062E-1,-1.423689423E0,5.490766504E0
7.168375833E-1,4.736450500E0,-7.634124756E-2,-1.231788483E0,4.894598471E0
7.269115834E-1,5.121449890E0,-7.291337585E-1,-1.134341125E0,5.295999887E0
7.369855833E-1,5.476361847E0,-1.991009674E0,-1.257534943E0,5.961212354E0
7.470605834E-1,5.891149292E0,-2.972518616E0,-1.139580231E0,6.696278818E0
7.571345833E-1,6.271208954E0,-3.951033783E0,-6.004014587E-1,7.436343968E0
7.672085834E-1,6.527026978E0,-5.012476501E0,-1.399589539E-1,8.230831693E0
7.772825833E-1,6.903045044E0,-5.923032990E0,2.091151428E-1,9.098245975E0
7.873575834E-1,7.704179077E0,-6.593339081E0,1.553768921E-1,1.014153033E1
7.974315833E-1,8.840615845E0,-7.470365295E0,1.681004333E-1,1.157545264E1
8.075055834E-1,9.605076141E0,-8.203241272E0,5.554948425E-1,1.264354498E1
8.175795833E-1,1.071337143E1,-9.045090637E0,6.285429382E-1,1.403513656E1
8.276535834E-1,1.230411346E1,-1.008542725E1,8.366102600E-1,1.593132033E1
8.377285833E-1,1.310599594E1,-1.114627121E1,1.129551086E0,1.724187859E1
8.478025834E-1,1.358589798E1,-1.183034866E1,1.497935028E0,1.807699042E1
8.578765835E-1,1.415830765E1,-1.254481293E1,1.522933044E0,1.897760079E1
8.679505833E-1,1.441322754E1,-1.349264191E1,1.935026093E0,1.983776297E1
8.780255835E-1,1.480077164E1,-1.397673523E1,2.151475983E0,2.047048650E1
8.880995833E-1,1.477023514E1,-1.371358246E1,1.980082397E0,2.025198549E1
8.981735834E-1,1.497276398E1,-1.430021255E1,1.953886871E0,2.079657217E1
9.082475833E-1,1.480825607E1,-1.450199295E1,2.353855133E0,2.085983896E1
9.183215834E-1,1.439840836E1,-1.416803741E1,2.365830231E0,2.033825460E1
9.283965833E-1,1.414019531E1,-1.415486481E1,2.465522919E0,2.015897131E1
9.384705834E-1,1.404529266E1,-1.395682663E1,2.472707977E0,1.995438649E1
9.485445833E-1,1.385039795E1,-1.388048538E1,2.340981903E0,1.974795164E1
9.586185834E-1,1.378423553E1,-1.367795654E1,2.270777893E0,1.955116561E1
9.686935833E-1,1.377420639E1,-1.344040054E1,2.203417969E0,1.937080740E1
9.787675834E-1,1.361688354E1,-1.311138474E1,1.953437805E0,1.900378505E1
9.888415833E-1,1.340926529E1,-1.292801605E1,1.980531464E0,1.873137741E1
9.989155834E-1,1.357437195E1,-1.276934601E1,1.917961578E0,1.873494990E1
1.008990583E0,1.395113846E1,-1.221400085E1,1.747765503E0,1.862446685E1
1.019064583E0,1.420471115E1,-1.194336365E1,1.890568542E0,1.865454378E1
1.029138583E0,1.447774338E1,-1.172736282E1,2.002386017E0,1.873888049E1
1.039212583E0,1.435769302E1,-1.088611221E1,2.225422211E0,1.815497982E1
1.049287583E0,1.406400375E1,-9.559421082E0,2.315235443E0,1.716213996E1
1.059361583E0,1.369591919E1,-8.663384399E0,2.255060577E0,1.636208208E1
1.069435583E0,1.344309494E1,-8.031248932E0,2.333347778E0,1.583231736E1
1.079509583E0,1.336196365E1,-7.585176544E0,2.445913696E0,1.555826050E1
1.089586958E0,1.329819626E1,-7.310198364E0,2.423759766E0,1.536735616E1
1.099661958E0,1.273671387E1,-6.820117493E0,2.377056885E0,1.464200404E1
1.109735958E0,1.219304443E1,-6.496340790E0,2.186203766E0,1.398757531E1
1.119809958E0,1.178289734E1,-6.473438416E0,1.828896790E0,1.356786417E1
1.129883958E0,1.133652557E1,-6.420149231E0,1.569785614E0,1.312247519E1
1.139958958E0,1.112486572E1,-6.477330322E0,1.453178101E0,1.295492848E1
1.150032958E0,1.081096848E1,-6.577472076E0,1.205443268E0,1.271193423E1
1.160106958E0,1.042866348E1,-6.399941254E0,8.518785095E-1,1.226547867E1
1.170180958E0,1.019245468E1,-6.346502380E0,4.192781067E-1,1.201415911E1
