"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.646546250E-1,-8.690927124E-1,1.267863464E0,9.935888214E0,1.005408745E1
6.746766250E-1,-7.536827087E-1,1.406325531E0,1.004186783E1,1.016783648E1
6.846976250E-1,-4.125421143E-1,1.540147247E0,1.011940659E1,1.024424883E1
6.947196250E-1,-2.923420715E-1,1.735940094E0,1.017913239E1,1.033023175E1
7.047416250E-1,-2.618055725E-1,1.778451691E0,1.013377670E1,1.029198051E1
7.147626250E-1,4.317022705E-1,1.421144714E0,9.279652863E0,9.397764436E0
7.247846250E-1,-1.164727936E0,1.936373291E0,1.009740234E1,1.034715743E1
7.348066250E-1,-1.507515106E0,2.570305023E0,9.415420532E0,9.875688002E0
7.448276250E-1,-1.511856079E0,2.299667816E0,9.184001770E0,9.587495470E0
7.548496250E-1,-1.596729584E0,2.055076447E0,9.076525269E0,9.442255849E0
7.648716250E-1,-2.009122009E0,1.998045044E0,9.462273102E0,9.877417046E0
7.748926250E-1,-2.010618896E0,1.897454224E0,1.016131943E1,1.053068532E1
7.849146250E-1,-1.626517639E0,1.860181732E0,1.048644333E1,1.077364049E1
7.949366250E-1,-1.274898834E0,1.821262665E0,1.015413437E1,1.039465293E1
8.049576250E-1,-7.831713867E-1,1.879042511E0,9.787397003E0,9.996864422E0
8.149796250E-1,-4.179309082E-1,2.083666992E0,9.197473755E0,9.439801791E0
8.250016250E-1,-4.215234375E-1,2.110910339E0,8.043673096E0,8.326722125E0
8.350226250E-1,-4.808001709E-1,1.819316711E0,7.039411469E0,7.286590144E0
8.450446250E-1,-4.107458496E-1,1.476679230E0,6.649023285E0,6.823401230E0
8.550666250E-1,1.904040527E-1,1.197509766E0,6.444698181E0,6.557775384E0
8.650876250E-1,5.522016907E-1,7.976911926E-1,6.098617859E0,6.175303858E0
8.751096250E-1,9.364526367E-1,4.216731262E-1,5.608986053E0,5.702234326E0
8.851316250E-1,1.626367950E0,3.293151855E-1,5.207820282E0,5.465794845E0
8.951526250E-1,2.512225800E0,6.442602539E-1,4.262236633E0,4.989289615E0
9.051746250E-1,2.617007904E0,1.083746338E0,3.314707031E0,4.360105411E0
9.151966250E-1,3.085234222E0,7.926017761E-1,2.618205414E0,4.123334497E0
9.252176250E-1,2.511327667E0,-2.519261169E-1,1.517993317E0,2.945256717E0
9.352396250E-1,2.571502533E0,-7.189549255E-1,1.847907257E0,3.247196128E0
9.452616250E-1,2.582130432E0,-9.511221313E-1,2.073188782E0,3.445307331E0
9.552826250E-1,2.787054291E0,-1.561403046E0,1.976789246E0,3.756773458E0
9.653046250E-1,3.131937103E0,-1.825753326E0,1.992506561E0,4.136724263E0
9.753266250E-1,3.670217743E0,-1.888023834E0,1.843566284E0,4.520383714E0
9.853476250E-1,3.859873352E0,-2.502645721E0,1.611848145E0,4.874414051E0
9.953696250E-1,4.249812469E0,-2.588716736E0,1.952539673E0,5.345537535E0
1.005391625E0,4.721930695E0,-2.617756348E0,2.705773315E0,6.039079981E0
1.015412625E0,5.791905670E0,-2.987637177E0,2.946023712E0,7.152006914E0
1.025434625E0,5.929918671E0,-4.143234100E0,2.271077271E0,7.582091810E0
1.035456625E0,6.146518250E0,-5.153333588E0,8.931925964E-1,8.070584035E0
1.045477625E0,6.994504852E0,-5.374423828E0,3.472778320E-2,8.820926008E0
1.055499625E0,7.263794861E0,-5.904022522E0,3.695814514E-1,9.367859316E0
1.065521625E0,7.902366943E0,-6.427483978E0,1.640887756E0,1.031758044E1
1.075542292E0,9.051227875E0,-7.142546997E0,2.877017212E0,1.188351512E1
1.085564292E0,1.068972061E1,-7.933202820E0,4.237088928E0,1.396992328E1
1.095586292E0,1.224603424E1,-8.124505005E0,5.856421509E0,1.581994340E1
1.105607292E0,1.327185104E1,-7.993527374E0,7.013964386E0,1.700688703E1
1.115629292E0,1.364068405E1,-8.013136597E0,6.938820648E0,1.727500656E1
1.125651292E0,1.420620804E1,-8.414901123E0,5.906118164E0,1.753593851E1
1.135672292E0,1.470467148E1,-8.970695343E0,5.057682495E0,1.795218344E1
1.145694292E0,1.506602005E1,-9.269174652E0,4.893024902E0,1.835331718E1
1.155716292E0,1.546314423E1,-9.257199554E0,5.472320251E0,1.883483108E1
1.165737292E0,1.588182358E1,-9.138047333E0,6.046675873E0,1.929503870E1
1.175759292E0,1.641845764E1,-9.017847290E0,6.030659180E0,1.967882545E1
1.185781292E0,1.760354324E1,-8.662635956E0,5.369484100E0,2.034102642E1
1.195802292E0,1.950997879E1,-7.428602142E0,4.589605865E0,2.137493589E1
1.205824292E0,2.097932327E1,-5.755681000E0,4.071982269E0,2.213234982E1
1.215846292E0,2.265927979E1,-4.101770325E0,3.751349030E0,2.333109727E1
1.225867292E0,2.517614594E1,-2.076931000E0,3.392994232E0,2.548851460E1
1.235889292E0,2.673545334E1,3.182382202E-1,2.685565338E0,2.687188125E1
1.245911292E0,2.646212173E1,2.011367340E0,1.137634277E0,2.656282547E1
1.255932292E0,2.507899796E1,2.560126190E0,-1.874102783E-1,2.521002791E1
1.265954292E0,2.365994888E1,1.630409546E0,-2.279310150E0,2.382533675E1
1.275976292E0,2.419194260E1,2.185455322E0,-3.661236420E0,2.456483164E1
1.285997292E0,2.524605057E1,3.863016815E0,-4.607718201E0,2.595220675E1
1.296019292E0,2.578702560E1,4.366869049E0,-6.483317871E0,2.694575375E1
1.306041292E0,2.519096512E1,3.921994171E0,-8.778495026E0,2.696347041E1
1.316062292E0,2.386217834E1,3.424578552E0,-9.276509399E0,2.582992296E1
1.326084292E0,2.238070908E1,2.907553711E0,-8.641829224E0,2.416673788E1
1.336106292E0,2.030916687E1,1.825453949E0,-7.782466278E0,2.182570325E1
1.346127292E0,1.882979324E1,9.601034546E-1,-6.750063171E0,2.002613954E1
1.356149292E0,1.593945374E1,-1.218466187E-1,-5.978417816E0,1.702417433E1
1.366171292E0,7.768694916E0,-5.178032227E0,-1.004650818E1,1.371484470E1
1.376192292E0,3.655099182E0,-9.292825470E0,-1.606534195E1,1.891590778E1
1.386214292E0,3.477568359E0,-4.316723328E0,-9.469607849E0,1.097274144E1
1.396236292E0,6.077661438E0,-6.897356873E0,-5.116210785E0,1.052079432E1
1.406257292E0,8.255482635E0,-3.728895721E0,-4.257147217E-1,9.068566032E0
1.416279292E0,5.522316284E0,-6.381529541E0,-5.119354248E-1,8.454701314E0
1.426301292E0,2.739453278E0,-7.944728851E0,2.249821472E-1,8.406779273E0
1.436322292E0,1.004860382E0,-1.063134201E1,-2.386337585E0,1.094211060E1
1.446344292E0,1.984423370E0,-7.539072418E0,-1.859433289E0,8.014551840E0
1.456366292E0,5.473966827E0,-5.184468842E0,3.035836945E0,8.127689460E0
1.466387292E0,5.976471863E0,-6.375092926E0,3.084485779E0,9.266826763E0
1.476409292E0,3.604504395E0,-5.894741821E0,1.349743195E0,7.040045437E0
1.486431292E0,2.804418182E0,-4.373455353E0,-1.466500397E0,5.398379060E0
1.496452292E0,5.439239044E0,-1.673819275E0,-3.973038025E0,6.940606853E0
1.506474292E0,1.956730957E0,-5.325475616E0,-9.934840393E-1,5.759904263E0
1.516496292E0,-4.098477173E-1,-7.315437469E0,2.061513062E0,7.611401752E0
1.526517292E0,3.200344849E-1,-6.974745941E0,4.917723541E0,8.540111700E0
1.536539292E0,7.783813477E-1,-4.969066772E0,7.226971436E0,8.804920116E0
1.546561292E0,2.024090881E0,-4.259392548E0,5.628146210E0,7.342710571E0
1.556582292E0,3.146007843E0,-3.703149261E0,1.769470367E0,5.171238264E0
1.566604292E0,2.277663574E0,-3.963757324E0,-1.189875641E0,4.723867856E0
1.576626292E0,-2.308200073E-1,-4.859195251E0,-1.992506561E0,5.256913426E0
1.586647292E0,-1.680405579E0,-6.507717133E0,-2.218087463E0,7.077715534E0
1.596669292E0,-7.375163269E-1,-7.637417908E0,-2.865640869E0,8.190603166E0
1.606691292E0,2.553988953E0,-7.626490631E0,-3.717070312E0,8.860182313E0
1.616712292E0,7.964787140E0,-6.786287842E0,-5.529052277E0,1.183477739E1
1.626734292E0,1.266216888E1,-4.822371826E0,-4.969815216E0,1.443207726E1
1.636756292E0,1.595217728E1,-2.950065308E0,-1.401086426E0,1.628305525E1
1.646777292E0,1.968212082E1,-3.229833527E0,-2.084864502E0,2.005403612E1
1.656799292E0,2.163690582E1,-3.847299500E0,-3.581452332E0,2.226621225E1
1.666821292E0,2.452260498E1,-4.343068542E0,-4.705315247E0,2.534482967E1
1.676842292E0,2.601694748E1,-4.255949707E0,-7.695048065E0,2.746285544E1
1.686864292E0,2.360231873E1,-3.223396912E0,-1.013048355E1,2.588602777E1
1.696886292E0,1.783196823E1,-2.365381165E0,-7.990533600E0,1.968305734E1
1.706907292E0,1.256532028E1,-2.127974854E0,-5.466931458E0,1.386733177E1
1.716929292E0,1.063867676E1,-2.215692444E0,-4.902455292E0,1.192161080E1
1.726951292E0,9.456734619E0,-2.685116272E0,-4.778363342E0,1.093034470E1
1.736972292E0,8.430768127E0,-3.451821899E0,-4.686304779E0,1.024472440E1
1.746994292E0,7.356452179E0,-4.389921112E0,-4.811893616E0,9.825635664E0
1.757016292E0,6.220165100E0,-5.292693787E0,-4.507875824E0,9.328665812E0
1.767037292E0,3.704646149E0,-4.561614075E0,-3.267854462E0,6.723957082E0
1.777059292E0,1.616189117E0,-5.133424988E0,-1.889371033E0,5.703844516E0
1.787081292E0,5.779481506E-1,-6.395899658E0,-7.911048889E-1,6.470502565E0
1.797102292E0,-3.707789612E-1,-7.590265961E0,1.649569702E-1,7.601106840E0
1.807124292E0,-7.005432129E-2,-7.415429535E0,9.827064514E-1,7.480589199E0
1.817146292E0,3.981719971E-1,-5.897735596E0,1.264121246E0,6.044818328E0
1.827167292E0,4.435276794E-1,-4.543651428E0,7.857160950E-1,4.632368172E0
1.837189292E0,4.613406372E-1,-4.514611816E0,7.424560547E-2,4.538729717E0
1.847211292E0,1.648072815E-1,-5.255570984E0,6.361770630E-2,5.258539248E0
1.857232292E0,-2.544708252E-1,-5.561085663E0,7.762857056E-1,5.620769400E0
1.867254292E0,-5.282514954E-1,-5.530399475E0,1.349743195E0,5.717182408E0
1.877276292E0,-5.319937134E-1,-5.589975586E0,1.401834869E0,5.787571629E0
1.887297292E0,-1.212478638E-1,-5.743705902E0,1.136736145E0,5.856366416E0
1.897319292E0,7.048841858E-1,-5.111869812E0,2.460882568E-1,5.166104347E0
1.907341292E0,1.538051605E0,-4.768633575E0,-4.275109863E-1,5.028740852E0
1.917362292E0,1.961371307E0,-4.563260651E0,-3.230282593E-1,4.977416240E0
1.927384292E0,1.632804565E0,-3.919599152E0,6.092330933E-2,4.246530338E0
1.937406292E0,1.190474396E0,-3.878584442E0,1.216819611E0,4.235716767E0
1.947427292E0,1.358874207E0,-4.279899902E0,3.022664337E0,5.413001199E0
1.957449292E0,1.431772614E0,-4.451443176E0,4.559967499E0,6.531356885E0
1.967471292E0,1.109343109E0,-6.720873871E0,5.635780334E0,8.840973233E0
1.977492292E0,1.715432739E-1,-1.443568085E1,5.948779449E0,1.561429747E1
1.987514292E0,-1.313518524E0,-1.969798782E1,6.064788208E0,2.065230523E1
1.997536292E0,-2.136956177E0,-2.719634491E1,6.307283936E0,2.799981408E1
2.007557292E0,-2.812800751E0,-3.248948776E1,6.801406403E0,3.331272718E1
2.017579292E0,-3.450325012E0,-3.371139679E1,6.838828583E0,3.457068979E1
2.027601292E0,-1.460363159E0,-3.126697998E1,4.901856537E0,3.168256453E1
2.037622292E0,9.693841553E-1,-2.674159058E1,3.297792206E0,2.696159872E1
2.047644292E0,1.045276337E0,-1.989961853E1,2.275867310E0,2.005659473E1
2.057666292E0,4.101470947E-2,-1.423809174E1,1.742227020E0,1.434434709E1
2.067688292E0,-4.403842163E-1,-1.098176331E1,1.532812500E0,1.109696254E1
2.077708875E0,-9.147477722E-1,-7.343429260E0,2.447709961E0,7.794485284E0
2.087730875E0,-1.195713501E0,-3.897145844E0,3.857777710E0,5.612479431E0
2.097751875E0,-5.634283447E-1,-4.799918518E0,2.064806213E0,5.255482278E0
2.107773875E0,-8.547225952E-2,-7.063511353E0,1.749861145E-1,7.066195460E0
2.117795875E0,4.411326599E-1,-8.883726196E0,-2.269131317E0,9.179550430E0
2.127816875E0,3.666325836E0,-1.117067047E1,-4.139611633E1,4.303329259E1
2.137838875E0,3.912863159E0,-1.251128265E1,-3.598591690E1,3.829920243E1
2.147860875E0,1.881287842E0,-1.189456512E1,-1.571102875E1,1.979536177E1
2.157882875E0,2.046244812E-1,-1.190609116E1,-8.452023926E0,1.460251986E1
2.167903875E0,-1.567091217E0,-1.160791122E1,-1.856888580E0,1.185948621E1
2.177925875E0,-2.507286072E0,-1.109432922E1,2.002386017E0,1.154903347E1
2.187947875E0,-2.865191803E0,-1.101978424E1,3.561244354E0,1.193010604E1
2.197968875E0,-2.472857666E0,-1.080587906E1,4.178560638E0,1.184662046E1
2.207990875E0,-1.435065765E0,-1.031909134E1,3.858825531E0,1.111006725E1
2.218012875E0,-1.065484314E0,-9.660311279E0,3.650009766E0,1.038168783E1
2.228033875E0,-1.222657471E0,-9.054670715E0,3.717669067E0,9.864229131E0
2.238055875E0,-9.708810425E-1,-8.505013733E0,4.590953064E0,9.713635706E0
2.248077875E0,-3.812571716E-1,-7.985444183E0,5.892945557E0,9.931741195E0
2.258098875E0,-1.204994202E-1,-7.477101288E0,6.125861206E0,9.666837088E0
2.268120875E0,1.868115234E-1,-6.882238312E0,4.531676331E0,8.242341481E0
2.278142875E0,3.230282593E-1,-6.089486847E0,1.373543701E0,6.250825515E0
2.288163875E0,9.879455566E-3,-4.977000275E0,-6.798861694E-1,5.023233475E0
2.298185875E0,-4.321513367E-1,-3.946243744E0,-1.019380188E0,4.098625432E0
2.308207875E0,-6.051914978E-1,-3.814517670E0,-9.455836487E-1,3.976296045E0
2.318228875E0,-9.845027161E-1,-4.863536224E0,-7.563771057E-1,5.019495645E0
2.328250875E0,-1.223705292E0,-7.125931549E0,-3.580554199E-1,7.239099306E0
2.338272875E0,-1.188827820E0,-1.063104263E1,3.971241760E-1,1.070467593E1
2.348293875E0,-1.210832062E0,-1.551538559E1,1.896107025E0,1.567764415E1
2.358315875E0,-9.427395630E-1,-2.112227600E1,3.930227051E0,2.150548735E1
2.368337875E0,-7.235952759E-1,-2.481210297E1,4.642895050E0,2.525312888E1
2.378358875E0,-8.981323242E-4,-2.537418411E1,3.807033234E0,2.565819016E1
