"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.833887500E-1,-1.938618622E0,1.087189178E0,7.302414551E0,7.633182871E0
6.934637500E-1,-1.923799438E0,1.537602539E0,7.509583740E0,7.903105326E0
7.035377500E-1,-1.995949402E0,1.664089508E0,8.028404846E0,8.438500594E0
7.136117500E-1,-1.171763306E0,1.781295776E0,9.132209473E0,9.377808579E0
7.236857500E-1,6.972500610E-1,2.013462982E0,9.549841003E0,9.784664226E0
7.337607500E-1,1.189127197E0,1.901196442E0,8.288713531E0,8.586695721E0
7.438347500E-1,6.099815369E-1,1.399888916E0,6.623576202E0,6.797317718E0
7.539087500E-1,1.508862305E-1,8.936416626E-1,6.102659454E0,6.169587870E0
7.639837500E-1,4.141886902E-1,5.715115356E-1,6.337071991E0,6.376257454E0
7.740577500E-1,9.072633362E-1,5.246589661E-1,6.247258759E0,6.334558847E0
7.841317500E-1,7.822732544E-1,4.222718811E-1,6.242019653E0,6.305003913E0
7.942057500E-1,-5.945635986E-1,-1.541793823E-1,6.988816681E0,7.015756250E0
8.042807500E-1,-4.827760620E0,-1.355281677E0,7.517367554E0,9.036308758E0
8.143547500E-1,-5.910309448E0,-1.814526672E0,9.107959900E0,1.100814237E1
8.244287500E-1,-4.579576721E0,-7.982899475E-1,7.569758606E0,8.883188343E0
8.345037500E-1,-3.556753693E0,-2.781216431E-1,8.682694244E0,9.387067051E0
8.445777500E-1,-2.340532837E0,-4.263134766E-1,9.092991028E0,9.399059686E0
8.546517500E-1,-1.677262115E0,1.945953369E-3,9.765093384E0,9.908090673E0
8.647257500E-1,-1.445543976E0,6.183641052E-1,1.045815216E1,1.057567578E1
8.748007500E-1,-2.390528870E-1,3.412902832E-2,1.140523270E1,1.140778874E1
8.848747500E-1,3.049458618E0,-1.615141296E-1,1.156105865E1,1.195756505E1
8.949487500E-1,6.354585571E0,6.665638733E-1,1.086814957E1,1.260720985E1
9.050237500E-1,7.573201447E0,8.460406494E-1,8.483907623E0,1.140376488E1
9.150977500E-1,3.755540314E0,-8.987310791E-1,5.617218933E0,6.816520310E0
9.251717500E-1,-2.408940582E0,-2.517764282E0,5.249134369E0,6.300439932E0
9.352457500E-1,-6.326144714E0,-1.729503479E0,6.055507507E0,8.926391231E0
9.453207500E-1,1.045875092E0,-5.367837524E-1,8.737630005E0,8.816358069E0
9.553947501E-1,1.215382599E1,-1.987716522E0,1.220965988E1,1.734192312E1
9.654687500E-1,1.169592819E1,-2.967279510E0,6.255940704E0,1.359177244E1
9.755437500E-1,1.274569519E1,-2.246228943E0,5.560187531E0,1.408594959E1
9.856177500E-1,1.184322189E1,-1.631307678E0,6.119873657E0,1.343041039E1
9.956917500E-1,1.214409622E1,-2.376308441E0,5.954317932E0,1.373243667E1
1.005765750E0,1.390443558E1,-1.861528931E0,7.223678284E0,1.577910475E1
1.015840750E0,1.478954498E1,-1.162931671E0,6.431076508E0,1.616916188E1
1.025914750E0,1.503353760E1,-1.183139648E0,4.910388794E0,1.585935025E1
1.035988750E0,1.484283417E1,2.323168945E-1,4.547243958E0,1.552549918E1
1.046063750E0,1.499267258E1,-4.129911804E-1,5.730982361E0,1.605599426E1
1.056137750E0,1.516256927E1,-4.636907501E0,5.659730530E0,1.683558635E1
1.066211750E0,1.445858322E1,1.155596924E-1,4.459077301E0,1.513100635E1
1.076285750E0,1.574006836E1,7.484436035E-3,4.278253326E0,1.631113912E1
1.086360750E0,1.595951202E1,-9.524693298E-1,3.811673584E0,1.643599943E1
1.096434750E0,1.734607864E1,1.312620392E0,4.618196411E0,1.799825421E1
1.106508750E0,1.310764252E1,-1.416055298E-1,3.886817322E0,1.367251599E1
1.116583750E0,1.263657211E1,-1.705104218E0,3.899540863E0,1.333404493E1
1.126657375E0,1.199006653E1,-7.511380005E-1,4.005221100E0,1.266363691E1
1.136731375E0,1.014395554E1,-1.353784790E0,2.635269928E0,1.056774407E1
1.146806375E0,1.501303024E1,-1.209035797E0,3.093467102E0,1.537603276E1
1.156880375E0,1.420216644E1,1.321152649E0,3.427123260E0,1.466942909E1
1.166954375E0,7.322023773E0,-2.009720764E0,4.346661072E0,8.748969777E0
1.177028375E0,9.046587524E0,-4.129313049E0,4.615352325E0,1.096327730E1
1.187103375E0,7.599097595E0,-2.050286407E0,4.305796051E0,8.971612912E0
1.197177375E0,7.311246185E0,-1.639390869E0,4.179608459E0,8.579688227E0
1.207251375E0,7.976462860E0,-1.019529877E0,4.229305115E0,9.085726316E0
1.217326375E0,8.104746094E0,-6.747967529E-1,5.309159546E0,9.712334168E0
1.227400375E0,8.636141052E0,2.998265076E-1,4.993615723E0,9.980432165E0
1.237474375E0,8.203390961E0,5.439688110E-1,3.149899750E0,8.804169112E0
1.247549375E0,7.569608917E0,-4.061054993E-1,3.047961731E0,8.170310370E0
1.257623375E0,7.821834412E0,-9.827064514E-1,4.822671204E0,9.241480567E0
1.267697375E0,8.544980621E0,4.008663940E-1,4.278702393E0,9.564762509E0
1.277771375E0,8.646619263E0,1.113684082E-1,3.099304962E0,9.185974028E0
1.287846375E0,8.242010651E0,9.475296021E-2,2.583327942E0,8.637899105E0
1.297920375E0,7.967032471E0,9.904902649E-1,1.938917999E0,8.259181579E0
1.307994375E0,8.570278015E0,2.154469757E0,8.201445007E-1,8.874910827E0
1.318069375E0,9.171427917E0,2.874472504E0,2.463876343E-1,9.614488498E0
1.328143375E0,8.832981720E0,8.964857483E-1,7.479945374E-1,8.909811928E0
1.338217375E0,7.659122772E0,8.981323242E-3,4.631369019E-1,7.673117886E0
1.348291375E0,8.916058960E0,-8.842112732E-1,-1.104253693E0,9.027586232E0
1.358366375E0,8.981472931E0,5.927673340E-1,-4.808001709E-1,9.013844791E0
1.368440375E0,8.749305725E0,1.007105713E0,-1.667682037E0,8.963580533E0
1.378514375E0,9.678124237E0,-5.602848816E-1,-1.323248291E0,9.784221683E0
1.388589375E0,9.085955658E0,-2.229463806E0,-5.388793945E-1,9.370991948E0
1.398663375E0,8.039631500E0,-2.913690948E0,-2.860551453E-1,8.556114606E0
