"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.343109583E-1,1.132529892E1,-1.149115402E1,4.996010742E0,1.688991237E1
6.443309583E-1,1.267204834E1,-1.155132889E1,4.837789764E0,1.781623468E1
6.543519583E-1,1.415426605E1,-1.154399414E1,3.028352509E0,1.851426388E1
6.643729583E-1,1.614811981E1,-1.088311844E1,6.349795532E-1,1.948351199E1
6.743939583E-1,1.775966858E1,-9.930649109E0,-1.357527008E0,2.039280509E1
6.844149583E-1,1.927945816E1,-9.643695831E0,-1.768871613E0,2.162931536E1
6.944359583E-1,2.143931671E1,-8.902437286E0,-5.812413025E-1,2.322144552E1
7.044569583E-1,2.505998749E1,-8.080496521E0,1.360670471E0,2.636567505E1
7.144779583E-1,2.814222794E1,-7.208859100E0,2.807711334E0,2.918622767E1
7.244979583E-1,2.956726456E1,-6.131998444E0,3.433859253E0,3.039105012E1
7.345189583E-1,3.073094467E1,-4.768932953E0,2.638563080E0,3.121050620E1
7.445399583E-1,3.198967712E1,-3.321293335E0,5.349874878E-1,3.216607908E1
7.545609583E-1,3.251089325E1,-1.401236115E0,-1.265169067E0,3.256566129E1
7.645819583E-1,3.363460648E1,1.801204376E0,-2.514022064E0,3.377649178E1
7.746029583E-1,3.333477997E1,3.982767792E0,-4.340972900E0,3.385135212E1
7.846239583E-1,3.087793900E1,4.106410675E0,-6.251300354E0,3.177087473E1
7.946449583E-1,2.735426651E1,3.109783173E0,-7.231312408E0,2.846433781E1
8.046659583E-1,2.375799500E1,1.859582977E0,-6.714736633E0,2.475859574E1
8.146859583E-1,2.133633087E1,1.350491638E0,-4.902305603E0,2.193388800E1
8.247069583E-1,1.903351959E1,1.166673889E0,-3.200344849E0,1.933593037E1
8.347279583E-1,1.768242920E1,1.595681763E-1,-3.347937927E0,1.799729015E1
8.447489583E-1,1.571686661E1,-9.400451660E-1,-3.299289093E0,1.608691672E1
8.547699583E-1,1.200653229E1,-2.392624512E0,-2.789598999E0,1.255640602E1
8.647909583E-1,3.028202820E-1,-7.293283539E0,-7.524253235E0,1.048322811E1
8.748119583E-1,-5.352569275E0,-1.088147186E1,-1.365400635E1,1.826166250E1
8.848329583E-1,9.405241699E0,2.359094238E-1,-2.775827637E0,9.809151021E0
8.948529583E-1,9.113199005E0,-4.377796326E0,5.894741821E-1,1.012733808E1
9.048739583E-1,3.822301483E0,-8.124355316E0,-9.416917419E-1,9.027841451E0
9.148949583E-1,5.441184998E-1,-9.208999786E0,-1.565294952E0,9.356916709E0
9.249159583E-1,-9.071136475E-2,-1.108789261E1,-1.213227081E0,1.115443907E1
9.349369583E-1,4.258644104E-1,-9.027127991E0,6.734495544E-1,9.062225696E0
9.449579583E-1,2.898722076E0,-7.430697784E0,3.034639435E0,8.533867572E0
9.549789583E-1,5.763614502E0,-7.516918488E0,1.844314728E0,9.650119817E0
9.649999583E-1,8.259673920E0,-6.389612732E0,2.857707367E0,1.082662715E1
9.750199583E-1,8.168513489E0,-6.412964172E0,3.129991150E0,1.084654630E1
9.850409583E-1,7.000642090E0,-6.890022125E0,2.072140961E0,1.003868332E1
9.950619583E-1,6.473887482E0,-5.509742432E0,3.053649902E-2,8.501141880E0
1.005082958E0,7.173682251E0,-3.849245453E0,-1.119072876E0,8.217708421E0
1.015103958E0,7.104226685E0,-3.024610291E0,-1.263672180E0,7.824012498E0
1.025124958E0,6.009253693E0,-3.684288483E0,-5.219645691E-1,7.068066113E0
1.035145958E0,5.033732300E0,-3.019221497E0,-1.245410156E-1,5.871087614E0
1.045166958E0,4.647086334E0,-2.360291748E0,-3.791615295E-1,5.225911595E0
1.055187958E0,4.153113556E0,-3.164269867E0,-1.942959595E-1,5.224816448E0
1.065207958E0,4.155209198E0,-5.585335236E0,1.796564026E0,7.189532354E0
1.075228958E0,4.211791534E0,-5.774841156E0,2.267784119E0,7.498721432E0
1.085249958E0,5.935906219E0,-5.013674011E0,5.412744141E-1,7.788766766E0
1.095270958E0,5.584736481E0,-4.177213440E0,3.007246399E-1,6.980603770E0
1.105291958E0,5.126688995E0,-4.556674347E0,4.279600525E-1,6.872362837E0
1.115312958E0,5.980812836E0,-5.349725189E0,-6.870712280E-2,8.024612292E0
1.125333958E0,6.790030060E0,-4.975204010E0,-1.106199646E-1,8.418396518E0
1.135354958E0,7.923772430E0,-4.003873901E0,-2.755769348E-1,8.882179822E0
1.145374958E0,9.118288422E0,-3.555855560E0,-1.525328064E0,9.905247004E0
1.155395958E0,1.045530807E1,-4.130061493E0,-2.026186523E0,1.142262258E1
1.165416958E0,9.791588287E0,-4.665198669E0,-1.424886932E0,1.093935933E1
1.175437958E0,8.985813904E0,-6.015241241E0,-7.900570679E-1,1.084214780E1
1.185458958E0,9.318571930E0,-7.062613220E0,-9.559121704E-1,1.173158371E1
1.195479958E0,1.045725403E1,-7.688910828E0,-2.393971710E0,1.319865948E1
1.205500958E0,1.361374008E1,-7.411537628E0,-3.163072357E0,1.581991896E1
1.215521958E0,1.715672241E1,-6.054609375E0,-8.225395203E-1,1.821230326E1
1.225541958E0,1.784109924E1,-2.906505890E0,-1.391656036E0,1.812979055E1
1.235563583E0,1.758393402E1,5.987548828E-2,-5.644462280E0,1.846776313E1
1.245584583E0,1.535851181E1,-1.630110168E-1,-7.425907745E0,1.706032132E1
1.255605583E0,1.254062164E1,-1.223405914E0,-4.827161865E0,1.349316141E1
1.265626583E0,1.107621689E1,-1.859582977E0,-2.547103271E0,1.151643888E1
1.275647583E0,1.014635056E1,-2.436483307E0,-1.240021362E0,1.050821267E1
