"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.344468333E-1,-1.067774551E1,-6.278394012E0,-5.010081482E-1,1.239691453E1
6.444848333E-1,-8.413254547E0,-6.512956238E0,-7.075785828E-1,1.066311955E1
6.545218333E-1,-7.252119141E0,-7.597451019E0,-1.571132813E0,1.061993184E1
6.645598333E-1,-5.926026764E0,-8.525221710E0,-4.489164734E-1,1.039224347E1
6.745978333E-1,-5.614524536E0,-8.855884094E0,2.368374939E0,1.074982645E1
6.846358333E-1,-5.863456879E0,-8.732989655E0,3.845203857E0,1.119959051E1
6.946738333E-1,-6.057004395E0,-9.224567413E0,4.536616058E0,1.193150583E1
7.047108333E-1,-7.242539063E0,-9.786049805E0,4.655019836E0,1.303419934E1
7.147488333E-1,-7.372618561E0,-8.805588684E0,4.217479706E0,1.223441995E1
7.247868333E-1,-6.249803467E0,-7.754324799E0,4.176614685E0,1.079970864E1
7.348248333E-1,-6.642886047E0,-7.798482971E0,4.272864532E0,1.109962355E1
7.448618333E-1,-7.607180786E0,-7.691455536E0,4.417014771E0,1.168493506E1
7.548998333E-1,-7.992778931E0,-7.521259460E0,4.736450500E0,1.195356944E1
7.649378333E-1,-7.152127075E0,-7.511380005E0,3.051554260E0,1.081137062E1
7.749758333E-1,-5.490133209E0,-7.461234283E0,2.647095337E0,9.634245866E0
7.850128333E-1,-3.425476685E0,-7.601791992E0,2.818937988E0,8.801564826E0
7.950508333E-1,-1.344953156E0,-8.193511505E0,4.124822388E0,9.271283056E0
8.050888333E-1,-2.204166412E0,-7.289840698E0,4.422553253E0,8.806764687E0
8.151268333E-1,-2.814746704E0,-7.168742523E0,6.489305420E0,1.007098571E1
8.251638333E-1,-3.819307709E0,-8.626560974E0,1.124431732E1,1.467785194E1
8.352018333E-1,-7.551945648E0,-1.250394791E1,2.084580093E1,2.545443012E1
8.452398333E-1,-4.138893127E0,-6.742429047E0,1.203362595E1,1.440135199E1
8.552778333E-1,-5.677094421E0,2.158960419E0,-2.169288940E0,6.449521352E0
8.653158333E-1,-1.017045044E1,3.157533875E0,-5.391787720E-1,1.066296376E1
8.753528333E-1,-8.838669891E0,-2.188149719E0,-5.072950745E-1,9.119618026E0
8.853908333E-1,-6.737189941E0,-5.593867493E0,-6.424639893E-1,8.780309893E0
8.954288333E-1,-3.711681519E0,-5.596112823E0,2.386786652E0,7.126696917E0
9.054668333E-1,-1.386865997E0,-4.260590057E0,4.233197021E0,6.164088088E0
9.155038333E-1,-5.745053101E-1,-3.698658600E0,2.728376312E0,4.631864537E0
9.255418333E-1,-3.072061615E0,-4.755161591E0,5.488486633E0,7.884960992E0
9.355798333E-1,-4.059109039E0,-6.748566284E0,5.908812561E0,9.845485207E0
9.456178333E-1,-4.195026398E0,-9.142088928E0,4.392914886E0,1.097605292E1
9.556548333E-1,-4.154161377E0,-1.001402573E1,6.675069122E0,1.273162660E1
9.656928333E-1,-3.454067230E0,-9.357640686E0,7.902366943E0,1.272569931E1
9.757308333E-1,-2.715652771E0,-8.417146454E0,7.165149994E0,1.138255239E1
9.857688333E-1,-2.438429260E0,-7.058122559E0,4.338877258E0,8.636485811E0
9.958068333E-1,-3.334166565E0,-6.170618134E0,6.487060089E0,9.553802564E0
1.005843833E0,-4.262985077E0,-5.080884247E0,6.627168732E0,9.375915523E0
1.015881833E0,-5.435796204E0,-3.836521912E0,4.964875488E0,8.301612455E0
1.025919833E0,-4.621040497E0,-2.022593994E0,-2.971321106E-1,5.053037624E0
1.035957833E0,-4.546944580E0,-2.949915619E0,8.740324402E-1,5.490049169E0
1.045994833E0,-9.960886230E0,-6.502927094E0,7.720944214E0,1.418168872E1
1.056032833E0,-1.044587769E1,-8.435408478E0,1.133712433E1,1.757278762E1
1.066070833E0,-2.998115387E0,-5.653144226E0,5.646857300E0,8.534268151E0
1.076108833E0,-6.551875305E-1,-5.917943573E0,4.609364777E0,7.529778913E0
1.086145833E0,-5.522016907E-1,-6.057004395E0,4.222718811E0,7.404294909E0
1.096183833E0,-1.928888855E0,-5.837111664E0,4.545148315E0,7.645316082E0
1.106221833E0,-1.713786163E0,-3.961062927E0,1.853745117E0,4.697175054E0
1.116259833E0,-1.164428558E0,-3.315006409E0,7.298822021E-1,3.588577627E0
1.126296833E0,-5.363346863E-1,-3.600163422E0,-2.842588806E-1,3.650977221E0
1.136334833E0,1.442999268E-1,-3.413950653E0,-8.629554749E-1,3.524283428E0
1.146372833E0,3.478765869E-1,-1.663790131E0,-3.338058472E-1,1.732236145E0
1.156410833E0,-1.707349548E0,-2.093546448E0,3.448079681E0,4.380323355E0
1.166447833E0,-2.263892212E0,-3.489842834E0,4.572541351E0,6.181613492E0
1.176485833E0,-2.014959869E0,-4.029919739E0,2.500250702E0,5.152821552E0
1.186523833E0,-2.571801910E0,-4.606520691E0,2.508483582E0,5.841805185E0
1.196561833E0,-2.292333069E0,-5.674549713E0,2.791245575E0,6.726541251E0
1.206599833E0,-2.086361389E0,-7.520960083E0,2.550246735E0,8.211059787E0
1.216636833E0,-2.805765381E0,-9.117689667E0,2.464175720E0,9.852753230E0
1.226674833E0,-2.888842621E0,-8.969348145E0,3.264261932E0,9.972463276E0
1.236712833E0,-2.606529694E0,-8.250692596E0,3.851790161E0,9.471230797E0
1.246750833E0,-2.779420166E0,-7.442523193E0,3.818409576E0,8.814566333E0
1.256787833E0,-2.106569366E0,-7.786208496E0,4.004921722E0,9.005669061E0
1.266825833E0,-4.224664764E0,-9.062454529E0,4.524191895E0,1.097470668E1
1.276863833E0,-7.032675476E0,-9.422605591E0,6.745572510E0,1.355532253E1
1.286901833E0,-7.345375214E0,-8.985813904E0,7.718698883E0,1.393835360E1
1.296938833E0,-6.631509705E0,-7.689060516E0,5.473068695E0,1.153486253E1
1.306976833E0,-5.877228241E0,-5.918093262E0,4.990023193E0,9.719360633E0
1.317014833E0,-6.075416107E0,-4.351151733E0,5.140011292E0,9.069890758E0
1.327052833E0,-6.393055573E0,-4.205354919E0,4.526437225E0,8.890714454E0
1.337089833E0,-4.952900391E0,-5.426665192E0,3.528612213E0,8.150522777E0
1.347127833E0,-3.584595795E0,-7.446864166E0,3.053500214E0,8.810730757E0
1.357165833E0,-2.755020905E0,-8.639284515E0,4.836143188E0,1.027694790E1
1.367203833E0,-2.068099365E0,-8.438701630E0,6.935078430E0,1.111683557E1
1.377241833E0,-1.633253632E0,-7.774832153E0,7.814499664E0,1.114369496E1
1.387278833E0,-5.777984619E-1,-6.960076447E0,8.826994171E0,1.125576925E1
1.397316833E0,-4.266128540E-1,-7.077282715E0,9.187743988E0,1.160536810E1
1.407354833E0,-2.688409424E-1,-7.994425507E0,8.926237793E0,1.198585983E1
1.417392833E0,-2.823129272E0,-9.975555725E0,7.474107513E0,1.278061243E1
1.427429833E0,-5.325625305E0,-1.055574921E1,4.184697876E0,1.254184287E1
1.437467833E0,-6.698869629E0,-1.021341110E1,-1.657054138E-1,1.221540335E1
1.447505833E0,-6.784641266E0,-9.150770874E0,-2.771187286E0,1.172379818E1
1.457543833E0,-3.494932251E0,-8.864715729E0,-3.371888123E0,1.010778739E1
1.467580833E0,-1.742825775E0,-1.053913376E1,6.798861694E-1,1.070387908E1
1.477618833E0,-1.801803131E0,-1.159773239E1,4.236789551E0,1.247815198E1
1.487656833E0,-1.803599396E0,-1.117007172E1,4.761298828E0,1.227572562E1
1.497694833E0,-4.047732697E0,-9.809401245E0,4.068389740E0,1.136487078E1
1.507731833E0,-3.695664825E0,-7.362888794E0,2.664159851E0,8.658395787E0
1.517769833E0,-7.985444183E0,-7.863447876E0,1.697919159E0,1.133508098E1
1.527807833E0,-1.176403656E1,-6.839876404E0,1.791624298E0,1.372539191E1
1.537845833E0,-1.189142166E1,-4.129462738E0,8.722361755E-1,1.261820778E1
1.547882833E0,-1.165087189E1,-2.887645111E0,4.942721558E-1,1.201355963E1
1.557920833E0,-1.161704224E1,-3.110082550E0,3.670367432E-1,1.203174965E1
1.567958833E0,-1.155102951E1,-4.443210297E0,1.749262390E0,1.249913275E1
1.577996833E0,-1.232641708E1,-5.702242126E0,3.513343964E0,1.402853197E1
1.588033833E0,-1.078462326E1,-5.951324158E0,3.041076050E0,1.268757272E1
1.598071833E0,-7.826175385E0,-6.602919159E0,1.906136169E0,1.041541731E1
1.608109833E0,-5.377866669E0,-7.425458679E0,5.137316895E-1,9.182745055E0
1.618147833E0,-4.317322083E0,-7.888595581E0,3.790118408E-1,9.000714426E0
1.628184833E0,-4.620890808E0,-8.235723724E0,1.211131439E0,9.520851668E0
1.638222833E0,-4.922363892E0,-8.352929993E0,3.728147278E0,1.038750152E1
1.648260833E0,-5.374124451E0,-7.395970001E0,3.362607422E0,9.741083849E0
1.658298833E0,-6.927294617E0,-5.540428619E0,1.816622314E0,9.054494830E0
1.668336833E0,-7.370373230E0,-4.632566528E0,4.626878357E-1,8.717634669E0
1.678373833E0,-5.021757202E0,-5.445076904E0,6.836283875E-1,7.438699864E0
1.688411833E0,-2.389031982E0,-8.638386383E0,1.357227631E0,9.064836455E0
1.698449833E0,-1.579515381E0,-1.203647003E1,7.894583130E-1,1.216530822E1
1.708487833E0,-7.402107239E-1,-1.458581863E1,1.926793213E0,1.473114216E1
1.718524833E0,5.463638306E-1,-1.433808380E1,3.480262756E0,1.476453146E1
1.728562833E0,-5.134323120E-1,-1.312530579E1,3.565136261E0,1.361056433E1
1.738600833E0,-2.605032806E0,-1.361179413E1,3.614383850E0,1.432239177E1
1.748638833E0,-3.610641632E0,-1.316242859E1,3.665278015E0,1.413225114E1
1.758675833E0,-4.628375244E0,-1.237776031E1,3.303630066E0,1.362148228E1
1.768713833E0,-5.121599579E0,-1.193064011E1,2.649490356E0,1.325106617E1
1.778751833E0,-5.035827942E0,-1.165461411E1,2.325713654E0,1.290730557E1
1.788789833E0,-5.683081970E0,-1.141660904E1,1.606159973E0,1.285364277E1
1.798826833E0,-6.056255951E0,-1.155028107E1,1.842668152E0,1.317128144E1
1.808864833E0,-6.318360901E0,-1.141930344E1,1.934577026E0,1.319336059E1
1.818903375E0,-7.069199524E0,-1.131646729E1,2.138303375E0,1.351326589E1
1.828941375E0,-7.130122833E0,-1.184307220E1,1.998793488E0,1.396754045E1
1.838978375E0,-6.278693390E0,-1.132080826E1,1.998643799E0,1.309875060E1
1.849016375E0,-4.476590881E0,-9.333391113E0,2.192341003E0,1.058104034E1
1.859054375E0,-3.079546051E0,-7.654033356E0,2.486778717E0,8.616954153E0
1.869092375E0,-2.364333344E0,-6.072721710E0,2.301015015E0,6.911055724E0
1.879129375E0,-1.798210602E0,-4.182452545E0,2.167043610E0,5.042077812E0
1.889167375E0,-1.296004944E0,-2.952759705E0,2.113005981E0,3.855283772E0
1.899205375E0,-2.214644623E0,-2.382445679E0,1.103654938E0,3.434931213E0
1.909243375E0,-3.564238129E0,-2.885250092E0,6.122268677E-1,4.626368259E0
1.919280375E0,-4.628075867E0,-3.378773804E0,1.466201019E0,5.914807188E0
1.929318375E0,-4.609514465E0,-2.648143158E0,3.564238129E0,6.400318682E0
1.939356375E0,-4.870421906E0,-2.824326782E0,4.069437561E0,6.946808863E0
1.949394375E0,-5.663472748E0,-3.490441589E0,4.633913727E0,8.107481883E0
1.959431375E0,-4.683460693E0,-3.605552216E0,5.108726349E0,7.812419328E0
1.969469375E0,-4.188589783E0,-4.070784760E0,5.168452148E0,7.799260897E0
1.979507375E0,-3.442990265E0,-4.735103302E0,4.750970306E0,7.539701857E0
1.989545375E0,-2.878663788E0,-5.515280914E0,4.263434143E0,7.542008980E0
1.999582375E0,-3.301534424E0,-7.527396698E0,4.709207153E0,9.473038721E0
2.009620375E0,-5.199737091E0,-1.377540390E1,3.802841949E0,1.520725568E1
2.019658375E0,-5.261259155E0,-1.603540421E1,5.138664093E0,1.764145415E1
2.029696375E0,-5.587281189E0,-1.813359100E1,8.213270416E0,2.067613708E1
2.039733375E0,-2.721041565E0,-1.430575104E1,3.876039734E0,1.506924895E1
2.049771375E0,1.154399414E0,-9.089697876E0,2.688259735E0,9.548925902E0
2.059809375E0,2.766996002E0,-5.302722931E0,2.854114838E0,6.627300270E0
2.069847375E0,2.032473450E0,-4.329446869E0,3.632945251E0,6.006109366E0
2.079885375E0,-3.712280273E-2,-5.239404602E0,1.643582153E-1,5.242113344E0
2.089922375E0,-2.107467499E0,-5.927074585E0,-2.244582367E0,6.679055502E0
2.099960375E0,-2.760709076E0,-5.794600067E0,-2.561174011E-1,6.423745065E0
2.109998375E0,-2.860850830E0,-6.890620880E0,1.486109619E0,7.607472996E0
2.120036375E0,-3.101999359E0,-8.879534912E0,2.355501709E0,9.696232700E0
2.130073375E0,-2.843486938E0,-1.002240829E1,3.122955780E0,1.087597990E1
2.140111375E0,-2.186353455E0,-1.030951126E1,1.079405365E0,1.059392655E1
2.150149375E0,-2.173180847E0,-1.052206924E1,-3.421884155E-1,1.074959297E1
2.160186375E0,-2.468666382E0,-1.096200439E1,7.451504517E-1,1.126122121E1
2.170224375E0,-2.439028015E0,-1.233180588E1,2.417472839E0,1.280103390E1
2.180262375E0,-2.398612061E0,-1.201192108E1,3.863914948E0,1.284404246E1
2.190300375E0,-2.484084320E0,-1.179756683E1,4.922513580E0,1.302245745E1
2.200338375E0,-2.391876068E0,-1.184846100E1,5.034929810E0,1.309418258E1
2.210375375E0,-2.543361053E0,-1.202584213E1,4.819527740E0,1.320293195E1
2.220413375E0,-2.362537079E0,-1.246038849E1,4.628973999E0,1.350075046E1
2.230451375E0,-1.711690521E0,-1.220546860E1,3.931274872E0,1.293670245E1
2.240488375E0,-1.801204376E0,-1.220965988E1,3.598217468E0,1.285563303E1
2.250526375E0,-1.603016510E0,-1.179098053E1,3.517086182E0,1.240833506E1
2.260564375E0,-1.420695648E0,-1.165027313E1,2.129022675E0,1.192811711E1
2.270602375E0,-1.504221954E0,-1.178783707E1,5.141807556E-1,1.189454363E1
2.280639375E0,-2.040856018E0,-1.215098190E1,3.573069763E-1,1.232635886E1
2.290677375E0,-2.364483032E0,-1.210532684E1,1.316661987E0,1.240416530E1
2.300715375E0,-2.827769623E0,-1.248957779E1,1.654958496E0,1.291219277E1
2.310753375E0,-2.685415649E0,-1.285556671E1,1.449286194E0,1.321277727E1
2.320790375E0,-2.461032257E0,-1.273746231E1,1.560205536E0,1.306651703E1
2.330828375E0,-2.907703400E0,-1.237117401E1,7.235952759E-1,1.272887566E1
2.340866375E0,-3.523522797E0,-1.220726486E1,-2.258802795E-1,1.270761780E1
2.350904375E0,-3.804338837E0,-1.227447510E1,-1.087787933E0,1.289647299E1
2.360941375E0,-3.223696289E0,-1.258163635E1,-2.026485901E0,1.314520582E1
2.370979375E0,-2.473606110E0,-1.277533356E1,-1.823507996E0,1.313975099E1
2.381017375E0,-1.973645782E0,-1.257579849E1,-1.916913757E0,1.287324915E1
2.391055375E0,-2.351909180E0,-1.262459702E1,2.644999695E-1,1.284452750E1
2.401092375E0,-3.519930267E0,-1.209155548E1,5.258714447E0,1.364733310E1
2.411130375E0,-3.865860901E0,-1.070169571E1,8.484805756E0,1.419376977E1
2.421168375E0,-3.359014893E0,-9.265731812E0,9.739646301E0,1.385631542E1
2.431206375E0,-1.648521881E0,-8.655151520E0,9.243577881E0,1.277000408E1
2.441243375E0,-7.532336426E-1,-7.638914795E0,7.796836395E0,1.094125395E1
2.451281375E0,-2.261796570E-1,-6.167175293E0,6.821015625E0,9.198448918E0
2.461319375E0,-7.319778442E-2,-5.730533295E0,3.946543121E0,6.958417375E0
2.471357375E0,6.367758179E-1,-4.960384827E0,1.123563538E0,5.125748345E0
2.481394375E0,1.944755859E0,-4.137845306E0,1.886077881E-1,4.575960230E0
2.491432375E0,3.515439606E0,-3.965703278E0,-1.864073639E0,5.617818851E0
2.501470375E0,4.747826843E0,-3.957470398E0,-2.954406281E0,6.850689612E0
2.511508375E0,4.856500854E0,-4.760999451E0,-3.435056763E0,7.619208048E0
2.521545375E0,3.382665710E0,-6.555916901E0,-2.292183380E0,7.725061706E0
2.531583375E0,9.068142700E-1,-7.781119080E0,5.103786621E0,9.349693264E0
2.541621375E0,1.248553619E0,-8.282725983E0,6.101761322E0,1.036310412E1
